"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha_p[18]",-0.242801974579085,0.262219947601577,-0.754555979679238,-0.41886874542915,-0.241793221196489,-0.0664678676814755,0.261756348835034,1.00070299286994,2283,1,0.816875
"alpha_p[19]",0.320345247003606,0.272711711965023,-0.208108816625023,0.135733955164455,0.320582980403207,0.501080541054902,0.872177948871627,1.05731592039033,40,1,0.885208333333333
"alpha_p[20]",0.3024900357689,0.254510565568485,-0.18631491246122,0.120994403301423,0.300375331388487,0.468045280726213,0.824453463753461,1.05254837363729,44,1,0.889583333333333
"alpha_p[21]",-1.41113421155044,0.374068048643346,-2.13682574712843,-1.67900502452493,-1.42155702702725,-1.13514669878241,-0.698425581904235,1.59743530304015,7,0,1
"alpha_p[22]",-0.463805107605673,0.306456379062216,-1.07816422883866,-0.666066141585525,-0.457540408501971,-0.254035870006644,0.114989453771651,1.14469232238409,20,1,0.940208333333333
"alpha_p[23]",-1.16929512345902,0.411300080464733,-1.92053610653797,-1.47548002456534,-1.17753558287265,-0.867450739145619,-0.382693987466313,1.80050730908299,6,0,0.999583333333333
"alpha_p[24]",0.0104950713701102,0.908469044599661,-1.74083190170319,-0.580768590611561,0.0269144901924291,0.612320867779255,1.80105431504949,1.00269912229438,4147,1,0.512916666666667
"alpha_p[25]",-0.00374968118398217,0.901763058267948,-1.80674921327244,-0.599792835189736,0.00156142787733581,0.594935410977645,1.77684112819877,1.0022787107261,4800,1,0.499791666666667
"alpha_p[26]",-0.00853040773788854,0.902451691673797,-1.80865700787155,-0.613614173832939,-0.00750328204052337,0.569392185388608,1.79274813867977,1.00085182374239,4800,1,0.503541666666667
"alpha_p[27]",0.2265247350011,0.488103735041436,-0.618712046708876,-0.179887447013635,0.233543662810111,0.618604324638669,1.10118310284465,1.73247050776306,6,1,0.631875
"alpha_p[28]",-0.0035649032972517,0.919700208022191,-1.76468340825998,-0.580765785435627,-0.0322891422842653,0.598000826190313,1.85000398304345,1.00329155678067,4800,1,0.513333333333333
"alpha_p[29]",0.401213517310916,0.385063853092614,-0.346278106816171,0.141970288361145,0.401199140442778,0.662536450927888,1.1634195355381,1.08945813299643,27,1,0.847916666666667
"alpha_p[30]",-1.50381274595107,0.43733247511669,-2.42408577632493,-1.79038456597456,-1.47854389253069,-1.19993651416111,-0.691510616545666,1.0986235784126,27,0,1
"alpha_p[31]",1.16662906488203,0.379437590821439,0.477088043542961,0.906142534712315,1.14549026064788,1.40504303122272,1.95612291366384,1.20093930731644,15,0,0.999583333333333
"alpha_p[32]",0.0687880037368218,0.29261798292511,-0.490259451952987,-0.126722983234784,0.0718882056121688,0.25810624241141,0.646537876368866,1.03931298291705,56,1,0.592916666666667
"alpha_p[33]",-1.01285044066256,1.11853161482506,-2.61091608010978,-1.92476610386625,-1.28325274673646,-0.135391840501542,1.27948106726363,1.03119719519402,69,1,0.778333333333333
"deviance",6324.04732233238,54.6739997091368,6217.96408572,6286.94984057049,6323.55949649133,6361.1672357038,6431.21837184568,1.0948327574171,26,0,1
